#K-Path     Band-1    Band-2    Band-3    Band-4      ...     Band-n
  0.0000  -13.4221  -12.9387  -12.7855  -12.6995   -6.2653   -6.1886   -6.1708   -5.9892   -5.9606   -5.6794   -5.6611   -5.5912   -5.5379   -5.4667   -5.2516   -5.1968   -5.1272   -5.0913   -5.0049   -4.9568   -4.7696   -4.6994   -4.6619   -4.6050   -4.4990   -4.4760   -4.4612   -4.4184   -4.3406   -4.2782   -4.2446   -4.1879   -4.1434   -4.0530   -3.9319   -3.8951   -3.8518   -3.7717   -3.7528   -3.6967   -3.6535   -3.6106   -3.4926   -3.3856   -3.3696   -3.2218   -2.9419   -2.8498   -2.0435   -1.8449   -1.4774   -1.0254   -0.5672   -0.3263   -0.1989   -0.0078    0.0087    1.2442    2.5360    2.7216    3.3026    4.4222    4.7576    5.0797    5.3193    5.6801    6.4627    6.5657
  0.0418  -13.4194  -12.9382  -12.7849  -12.6994   -6.2657   -6.1874   -6.1682   -6.0127   -5.9270   -5.6844   -5.6632   -5.5895   -5.5342   -5.4671   -5.2459   -5.1980   -5.1304   -5.0866   -5.0067   -4.9560   -4.7709   -4.7011   -4.6729   -4.6116   -4.5125   -4.4724   -4.4668   -4.3994   -4.3328   -4.2775   -4.2435   -4.1943   -4.1389   -4.0482   -3.9351   -3.8969   -3.8488   -3.7726   -3.7539   -3.6993   -3.6538   -3.6158   -3.4999   -3.3888   -3.3609   -3.2174   -2.9348   -2.8476   -2.0437   -1.8585   -1.4976   -1.0297   -0.5876   -0.3566   -0.1676   -0.0281    0.0194    1.2868    2.5595    2.7484    3.3027    4.4090    4.7395    5.0649    5.2971    5.6439    6.4613    6.5903
  0.0836  -13.4114  -12.9367  -12.7829  -12.6993   -6.2668   -6.1853   -6.1598   -6.0333   -5.8763   -5.6980   -5.6684   -5.5871   -5.5246   -5.4656   -5.2306   -5.2014   -5.1368   -5.0761   -5.0116   -4.9537   -4.7756   -4.7152   -4.6904   -4.6287   -4.5374   -4.4847   -4.4587   -4.3620   -4.3167   -4.2763   -4.2399   -4.2019   -4.1321   -4.0359   -3.9452   -3.8996   -3.8422   -3.7756   -3.7572   -3.7067   -3.6548   -3.6323   -3.5117   -3.4001   -3.3419   -3.2037   -2.9152   -2.8415   -2.0464   -1.8968   -1.5510   -1.0444   -0.6547   -0.4076   -0.1141   -0.0760    0.0534    1.4042    2.6282    2.8230    3.3028    4.3710    4.6864    5.0202    5.2366    5.5469    6.4533    6.6555
  0.1254  -13.3983  -12.9343  -12.7798  -12.6989   -6.2688   -6.1835   -6.1464   -6.0380   -5.8229   -5.7162   -5.6759   -5.5874   -5.5117   -5.4564   -5.2169   -5.1982   -5.1429   -5.0657   -5.0176   -4.9499   -4.7873   -4.7472   -4.6939   -4.6529   -4.5625   -4.5014   -4.4497   -4.3225   -4.3058   -4.2771   -4.2282   -4.1988   -4.1274   -4.0204   -3.9613   -3.9012   -3.8359   -3.7802   -3.7630   -3.7177   -3.6662   -3.6485   -3.5178   -3.4172   -3.3243   -3.1810   -2.8868   -2.8322   -2.0587   -1.9525   -1.6192   -1.0791   -0.7500   -0.4642   -0.1476   -0.0761    0.1375    1.5745    2.7353    2.9293    3.3028    4.3140    4.6027    4.9451    5.1499    5.4131    6.4335    6.7332
  0.1672  -13.3801  -12.9309  -12.7756  -12.6986   -6.2720   -6.1802   -6.1305   -6.0257   -5.7769   -5.7347   -5.6833   -5.5909   -5.4953   -5.4373   -5.2227   -5.1743   -5.1474   -5.0633   -5.0181   -4.9448   -4.8141   -4.7705   -4.6956   -4.6779   -4.5846   -4.5214   -4.4420   -4.3118   -4.2824   -4.2766   -4.2050   -4.1860   -4.1249   -4.0080   -3.9792   -3.9028   -3.8358   -3.7827   -3.7718   -3.7305   -3.6974   -3.6472   -3.5182   -3.4375   -3.3130   -3.1515   -2.8552   -2.8208   -2.0928   -2.0159   -1.6799   -1.1532   -0.8262   -0.5403   -0.2203   -0.0710    0.2703    1.7769    2.8648    3.0378    3.3109    4.2481    4.4997    4.8405    5.0445    5.2686    6.3917    6.6916
  0.2089  -13.3574  -12.9266  -12.7706  -12.6981   -6.2758   -6.1734   -6.1139   -5.9989   -5.7679   -5.7399   -5.6813   -5.5925   -5.4715   -5.4118   -5.2328   -5.1600   -5.1378   -5.0731   -5.0087   -4.9382   -4.8479   -4.7842   -4.7132   -4.6835   -4.6029   -4.5442   -4.4366   -4.3178   -4.2743   -4.2526   -4.1795   -4.1671   -4.1232   -4.0147   -3.9838   -3.9057   -3.8483   -3.7906   -3.7734   -3.7412   -3.7279   -3.6409   -3.5170   -3.4583   -3.3082   -3.1198   -2.8295   -2.8056   -2.1546   -2.0789   -1.7218   -1.2617   -0.8623   -0.6407   -0.2914   -0.0801    0.4299    1.9962    2.9835    3.0933    3.3619    4.1851    4.3987    4.7146    4.9234    5.1365    6.3155    6.4851
  0.2507  -13.3304  -12.9215  -12.7650  -12.6977   -6.2788   -6.1632   -6.0968   -5.9615   -5.7879   -5.7474   -5.6734   -5.5823   -5.4394   -5.3842   -5.2420   -5.1668   -5.1147   -5.0845   -4.9947   -4.9299   -4.8756   -4.7962   -4.7327   -4.6798   -4.6172   -4.5681   -4.4340   -4.3204   -4.2705   -4.2309   -4.1641   -4.1439   -4.1191   -4.0354   -3.9804   -3.9113   -3.8714   -3.8080   -3.7782   -3.7532   -3.7331   -3.6307   -3.5195   -3.4758   -3.3090   -3.0916   -2.8180   -2.7853   -2.2365   -2.1318   -1.7629   -1.3592   -0.8743   -0.7580   -0.3616   -0.0971    0.6033    2.2216    3.0150    3.0959    3.4611    4.1321    4.3300    4.5852    4.8009    5.0333    6.2004    6.3046
  0.2925  -13.2996  -12.9156  -12.7591  -12.6974   -6.2797   -6.1512   -6.0795   -5.9181   -5.8115   -5.7624   -5.6769   -5.5601   -5.4055   -5.3562   -5.2462   -5.1813   -5.1159   -5.0730   -4.9794   -4.9200   -4.8899   -4.8076   -4.7421   -4.6768   -4.6267   -4.5904   -4.4338   -4.3182   -4.2664   -4.2163   -4.1595   -4.1307   -4.1079   -4.0530   -3.9816   -3.9233   -3.8969   -3.8255   -3.7980   -3.7690   -3.7093   -3.6164   -3.5317   -3.4849   -3.3139   -3.0739   -2.8120   -2.7733   -2.3233   -2.1643   -1.8392   -1.3979   -0.8982   -0.8613   -0.4352   -0.1197    0.7839    2.4428    2.9318    3.0661    3.5374    4.0878    4.3123    4.4729    4.7150    4.9799    6.0633    6.1416
  0.3343  -13.2655  -12.9091  -12.7532  -12.6971   -6.2778   -6.1404   -6.0622   -5.8740   -5.8362   -5.7754   -5.6857   -5.5363   -5.3866   -5.3229   -5.2466   -5.1992   -5.1246   -5.0536   -4.9638   -4.9109   -4.8853   -4.8154   -4.7404   -4.6760   -4.6334   -4.6057   -4.4350   -4.3130   -4.2624   -4.2093   -4.1611   -4.1317   -4.1019   -4.0563   -3.9876   -3.9471   -3.9151   -3.8410   -3.8207   -3.7809   -3.6834   -3.5983   -3.5504   -3.4901   -3.3202   -3.0734   -2.8063   -2.7771   -2.3962   -2.1742   -1.9529   -1.3738   -1.0133   -0.8696   -0.5154   -0.1467    0.9674    2.6383    2.8065    2.9686    3.5195    4.0445    4.2981    4.4324    4.6849    5.0249    5.9243    5.9956
  0.3761  -13.2289  -12.9021  -12.7478  -12.6969   -6.2732   -6.1346   -6.0452   -5.8618   -5.8392   -5.7776   -5.6899   -5.5150   -5.3874   -5.2916   -5.2587   -5.2005   -5.1267   -5.0375   -4.9495   -4.9005   -4.8644   -4.8149   -4.7314   -4.6759   -4.6411   -4.6083   -4.4363   -4.3082   -4.2603   -4.2098   -4.1641   -4.1426   -4.1060   -4.0506   -3.9975   -3.9734   -3.9283   -3.8562   -3.8397   -3.7915   -3.6645   -3.5932   -3.5517   -3.5008   -3.3235   -3.0893   -2.8366   -2.7619   -2.4408   -2.1670   -2.0779   -1.3142   -1.1267   -0.8714   -0.6029   -0.1772    1.1507    2.6229    2.7284    2.9316    3.4057    3.9768    4.2399    4.4961    4.7052    5.1896    5.7968    5.8699
